link,barcode
https://repository.tudelft.nl/islandora/object/uuid%3Aa14f2944-d922-4127-8ad9-81966190a227,5131393
https://repository.tudelft.nl/islandora/object/uuid%3A07c03c68-5e3f-4ba4-b0bf-7c60b0cafe90,5131394
https://repository.tudelft.nl/islandora/object/uuid%3Ab3dd0e4a-6cda-4092-9a96-676d1e1d24e8,5131395
https://repository.tudelft.nl/islandora/object/uuid%3Afffc705a-ed90-4228-bd12-b6daa8cc13a2,5131396
https://repository.tudelft.nl/islandora/object/uuid%3A77dfe594-c194-4c06-8907-397388c30d24,5131397
https://repository.tudelft.nl/islandora/object/uuid%3A71a090f4-5c57-4a1a-a90e-aeed525f9fa2,5131398
https://repository.tudelft.nl/islandora/object/uuid%3Ade73f389-6203-4ff4-acaa-269bb89b081a,5131399
https://repository.tudelft.nl/islandora/object/uuid%3A1d668b07-cec8-430b-822f-4a53c8fa958e,5131400
https://repository.tudelft.nl/islandora/object/uuid%3A23d05dce-da6a-4291-9a6f-002a679f85ff,5131401
https://repository.tudelft.nl/islandora/object/uuid%3A04a93c59-79e2-4137-ad56-8234d47b6e14,5131402
https://repository.tudelft.nl/islandora/object/uuid%3Afa4d42e8-1de5-4bc9-95ed-5da641694305,5131403
https://repository.tudelft.nl/islandora/object/uuid%3A96610558-5d81-4a0a-b9dc-5e59b8214b29,5131404
https://repository.tudelft.nl/islandora/object/uuid%3A21583fa9-c129-410c-a1fa-cd7f65f3b0e6,5131405
https://repository.tudelft.nl/islandora/object/uuid%3A312f9c63-f690-4ec8-a175-f6e589958c5e,5131406
https://repository.tudelft.nl/islandora/object/uuid%3A0aad7bb7-d5d5-4a80-ad1f-2181693d4b1d,5131407
https://repository.tudelft.nl/islandora/object/uuid%3A74c60eed-9296-4d72-bd19-0c0005a84c63,5131408
https://repository.tudelft.nl/islandora/object/uuid%3Ac6253348-532d-4159-bb4c-00cb8a1f5c2b,5131409
https://repository.tudelft.nl/islandora/object/uuid%3A9f11f2ef-2db4-4583-a763-aee88e06ee3b,5131410
https://repository.tudelft.nl/islandora/object/uuid%3Ae592b6f1-7f0f-499b-a985-2705a7a2ecba,5131411
https://repository.tudelft.nl/islandora/object/uuid%3A0690f5f1-c13a-45e9-bc40-6a7a12f6571b,5131412
https://repository.tudelft.nl/islandora/object/uuid%3Af87233e6-ac9b-4cd4-a6f0-33633fe240bb,5131413
https://repository.tudelft.nl/islandora/object/uuid%3A9dfd4050-740f-4728-b1b9-a9364945b435,5131414
https://repository.tudelft.nl/islandora/object/uuid%3A47cb00a2-d935-4a0a-b68b-a0440cfb9d26,5131415
https://repository.tudelft.nl/islandora/object/uuid%3A07102bcb-dc4e-4bd4-9691-9de832ffa2e1,5131416
https://repository.tudelft.nl/islandora/object/uuid%3A91362c82-d59a-4142-8575-69a5efbf51ba,5131417
https://repository.tudelft.nl/islandora/object/uuid%3Ae68b81e9-35b2-4aff-9f75-a59a12387b86,5131418
https://repository.tudelft.nl/islandora/object/uuid%3A32a7ae08-96fe-4f0e-baf3-1af379580708,5131419
https://repository.tudelft.nl/islandora/object/uuid%3Af892ffbc-e2f3-4fdb-bafb-b6d05006ea1b,5131420
https://repository.tudelft.nl/islandora/object/uuid%3A4c53dce6-0c51-4490-ac7c-28ae8158779c,5131421
https://repository.tudelft.nl/islandora/object/uuid%3A6f85ea91-2398-4d98-ad75-cfd8ffdaa768,5131422
https://repository.tudelft.nl/islandora/object/uuid%3A2fb59768-f1b7-4d45-8ffb-eb4342a473cf,5131423
https://repository.tudelft.nl/islandora/object/uuid%3A2cd65be4-1708-4967-8f09-902a40386090,5131424
https://repository.tudelft.nl/islandora/object/uuid%3A33e4200d-db96-4676-aae2-f7eb0cffad25,5131425
https://repository.tudelft.nl/islandora/object/uuid%3Af514548b-63c6-4015-a824-c86c9a63477c,5131426
https://repository.tudelft.nl/islandora/object/uuid%3A6879a75b-ac5c-4ebd-b4ac-d958fa03003a,5131427
https://repository.tudelft.nl/islandora/object/uuid%3A3beba418-24d5-4bd3-9852-6ba9dc9e26f2,5131428
https://repository.tudelft.nl/islandora/object/uuid%3Acb369abb-496d-4107-87e4-9fe441fa9245,5131429
https://repository.tudelft.nl/islandora/object/uuid%3Adf6af2ed-a2b2-4aad-b6ea-8ccdcc08ebce,5131430
https://repository.tudelft.nl/islandora/object/uuid%3A02afa9dc-d585-4e17-a102-dc06d770a232,5131431
https://repository.tudelft.nl/islandora/object/uuid%3Ade09c9d2-299f-4461-8130-18c23048fee4,5131432
https://repository.tudelft.nl/islandora/object/uuid%3Ad229c59f-c03f-4907-b9e8-67b83b619ac3,5131433
https://repository.tudelft.nl/islandora/object/uuid%3Aae452da6-a890-4cc4-aee4-3b2d702a5b7b,5131434
https://repository.tudelft.nl/islandora/object/uuid%3Ac1a9c23b-357f-4578-a0d4-d25f83d63255,5131435
https://repository.tudelft.nl/islandora/object/uuid%3A80e11dbd-90be-44f1-bb36-049503a265bd,5131436
https://repository.tudelft.nl/islandora/object/uuid%3Ae81b4737-6fa2-4875-9e26-b95eaf6fffae,5131437
https://repository.tudelft.nl/islandora/object/uuid%3A1707588d-1119-4758-bdf2-8da3877d05ff,5131438
https://repository.tudelft.nl/islandora/object/uuid%3Aedecee10-7db2-443e-8cdf-d41aaddaa1b2,5131439
https://repository.tudelft.nl/islandora/object/uuid%3A6b981b70-ae6b-4eb4-a183-93695117cc18,5131440
https://repository.tudelft.nl/islandora/object/uuid%3A3eea22a1-2f49-4e0f-8f0a-d367d2307430,5131441
https://repository.tudelft.nl/islandora/object/uuid%3Ab3287e0d-ae33-4d1f-91c6-7e7a6dd470a3,5131442
https://repository.tudelft.nl/islandora/object/uuid%3A80878b38-c405-4567-8af9-cd582d6713ec,5131443
https://repository.tudelft.nl/islandora/object/uuid%3A23c9f321-4d8c-480d-85fb-c7910cd79d9e,5131444
https://repository.tudelft.nl/islandora/object/uuid%3A2d24eb78-c308-49fb-a7a4-2021b40b77fd,5131445
https://repository.tudelft.nl/islandora/object/uuid%3A056f2e52-45ba-4dd8-a63b-dcda33ad0e20,5131446
https://repository.tudelft.nl/islandora/object/uuid%3Ada071e02-06e9-49fe-9504-eafede1032ed,5131447
https://repository.tudelft.nl/islandora/object/uuid%3A2d0316df-3b66-451a-8de1-dac5946602c5,5131448
https://repository.tudelft.nl/islandora/object/uuid%3Ab890c160-b50c-4d72-b292-adf053a4dcda,5131449
https://repository.tudelft.nl/islandora/object/uuid%3Afc22e459-27f4-405b-8d0d-c21148201639,5131450
https://repository.tudelft.nl/islandora/object/uuid%3Addf219d8-5572-45c5-9249-aacbb68683cd,5131451
https://repository.tudelft.nl/islandora/object/uuid%3Aa7171f84-44f4-4453-82d8-c7ec864cf954,5131452
https://repository.tudelft.nl/islandora/object/uuid%3A1a7f7245-b9da-4f99-8549-29e962a09183,5131453
https://repository.tudelft.nl/islandora/object/uuid%3A3c5537e8-22b2-4ce6-b0d5-b440b554945b,5131454
https://repository.tudelft.nl/islandora/object/uuid%3A8799a094-5a09-4670-853a-4bd1626fce74,5131455
https://repository.tudelft.nl/islandora/object/uuid%3Ac2a93de0-21e4-490b-a18c-09f319c2da17,5131456
https://repository.tudelft.nl/islandora/object/uuid%3A1226f51d-58bb-4699-9b42-70af62ad49a7,5131457
https://repository.tudelft.nl/islandora/object/uuid%3A04b83ee7-fced-4ee4-9e63-0e779e7fe246,5131458
